93,Afghanistan,0.17732
9375,Afghanistan Cellular+AC0-AT,0.18478
9370,Afghanistan Cellular+AC0-AWCC,0.17732
9376,Afghanistan Cellular+AC0-Areeba,0.1949
9377,Afghanistan Cellular+AC0-Areeba,0.1949
9378,Afghanistan Cellular+AC0-Etisalat,0.1688
937,Afghanistan Cellular+AC0-Others,0.1917
9372,Afghanistan Cellular+AC0-Roshan,0.18531
9379,Afghanistan Cellular+AC0-Roshan,0.18531
355,Albania,0.11015
35568,Albania Cellular+AC0-AMC,0.3149
35567,Albania Cellular+AC0-Eagle,0.2939
35566,Albania Cellular+AC0-Plus,0.2981
35569,Albania Cellular+AC0-Vodafone,0.28896
35521160,+ACI-Albania,AMC+ACI-,0.17455
35521161,+ACI-Albania,AMC+ACI-,0.17455
35521250,+ACI-Albania,AMC+ACI-,0.17455
35521340,+ACI-Albania,AMC+ACI-,0.17455
35521440,+ACI-Albania,AMC+ACI-,0.17455
3552155,+ACI-Albania,AMC+ACI-,0.17455
35521650,+ACI-Albania,AMC+ACI-,0.17455
35521651,+ACI-Albania,AMC+ACI-,0.17455
35521740,+ACI-Albania,AMC+ACI-,0.17455
35521741,+ACI-Albania,AMC+ACI-,0.17455
3552185,+ACI-Albania,AMC+ACI-,0.17455
35521940,+ACI-Albania,AMC+ACI-,0.17455
3552253,+ACI-Albania,AMC+ACI-,0.17455
35522530,+ACI-Albania,AMC+ACI-,0.17455
3552254,+ACI-Albania,AMC+ACI-,0.17455
35522540,+ACI-Albania,AMC+ACI-,0.17455
3552440,+ACI-Albania,AMC+ACI-,0.17455
35524401,+ACI-Albania,AMC+ACI-,0.17455
35524402,+ACI-Albania,AMC+ACI-,0.17455
35524403,+ACI-Albania,AMC+ACI-,0.17455
35524404,+ACI-Albania,AMC+ACI-,0.17455
35524405,+ACI-Albania,AMC+ACI-,0.17455
35524406,+ACI-Albania,AMC+ACI-,0.17455
35524407,+ACI-Albania,AMC+ACI-,0.17455
35524408,+ACI-Albania,AMC+ACI-,0.17455
35524409,+ACI-Albania,AMC+ACI-,0.17455
35526160,+ACI-Albania,AMC+ACI-,0.17455
35526250,+ACI-Albania,AMC+ACI-,0.17455
35526293,+ACI-Albania,AMC+ACI-,0.17455
35526323,+ACI-Albania,AMC+ACI-,0.17455
35526350,+ACI-Albania,AMC+ACI-,0.17455
35526363,+ACI-Albania,AMC+ACI-,0.17455
35526373,+ACI-Albania,AMC+ACI-,0.17455
35526383,+ACI-Albania,AMC+ACI-,0.17455
35526450,+ACI-Albania,AMC+ACI-,0.17455
35526490,+ACI-Albania,AMC+ACI-,0.17455
35526523,+ACI-Albania,AMC+ACI-,0.17455
35526563,+ACI-Albania,AMC+ACI-,0.17455
35526650,+ACI-Albania,AMC+ACI-,0.17455
35526673,+ACI-Albania,AMC+ACI-,0.17455
35526723,+ACI-Albania,AMC+ACI-,0.17455
35526770,+ACI-Albania,AMC+ACI-,0.17455
35526840,+ACI-Albania,AMC+ACI-,0.17455
35526890,+ACI-Albania,AMC+ACI-,0.17455
35526950,+ACI-Albania,AMC+ACI-,0.17455
35526970,+ACI-Albania,AMC+ACI-,0.17455
35526990,+ACI-Albania,AMC+ACI-,0.17455
35527023,+ACI-Albania,AMC+ACI-,0.17455
35527043,+ACI-Albania,AMC+ACI-,0.17455
35527053,+ACI-Albania,AMC+ACI-,0.17455
35527070,+ACI-Albania,AMC+ACI-,0.17455
35527140,+ACI-Albania,AMC+ACI-,0.17455
35527190,+ACI-Albania,AMC+ACI-,0.17455
35527223,+ACI-Albania,AMC+ACI-,0.17455
35527253,+ACI-Albania,AMC+ACI-,0.17455
35527270,+ACI-Albania,AMC+ACI-,0.17455
35527323,+ACI-Albania,AMC+ACI-,0.17455
35527350,+ACI-Albania,AMC+ACI-,0.17455
35527370,+ACI-Albania,AMC+ACI-,0.17455
35527390,+ACI-Albania,AMC+ACI-,0.17455
35527440,+ACI-Albania,AMC+ACI-,0.17455
35527470,+ACI-Albania,AMC+ACI-,0.17455
35527490,+ACI-Albania,AMC+ACI-,0.17455
35527523,+ACI-Albania,AMC+ACI-,0.17455
35527550,+ACI-Albania,AMC+ACI-,0.17455
35527570,+ACI-Albania,AMC+ACI-,0.17455
35527590,+ACI-Albania,AMC+ACI-,0.17455
35527623,+ACI-Albania,AMC+ACI-,0.17455
35527660,+ACI-Albania,AMC+ACI-,0.17455
35527693,+ACI-Albania,AMC+ACI-,0.17455
35527723,+ACI-Albania,AMC+ACI-,0.17455
35527760,+ACI-Albania,AMC+ACI-,0.17455
35527790,+ACI-Albania,AMC+ACI-,0.17455
35527840,+ACI-Albania,AMC+ACI-,0.17455
35527860,+ACI-Albania,AMC+ACI-,0.17455
35527880,+ACI-Albania,AMC+ACI-,0.17455
35527923,+ACI-Albania,AMC+ACI-,0.17455
35527950,+ACI-Albania,AMC+ACI-,0.17455
35527970,+ACI-Albania,AMC+ACI-,0.17455
35527990,+ACI-Albania,AMC+ACI-,0.17455
35528123,+ACI-Albania,AMC+ACI-,0.17455
35528124,+ACI-Albania,AMC+ACI-,0.17455
35528143,+ACI-Albania,AMC+ACI-,0.17455
35528144,+ACI-Albania,AMC+ACI-,0.17455
35528190,+ACI-Albania,AMC+ACI-,0.17455
35528223,+ACI-Albania,AMC+ACI-,0.17455
35528250,+ACI-Albania,AMC+ACI-,0.17455
35528290,+ACI-Albania,AMC+ACI-,0.17455
35528323,+ACI-Albania,AMC+ACI-,0.17455
35528350,+ACI-Albania,AMC+ACI-,0.17455
35528390,+ACI-Albania,AMC+ACI-,0.17455
35528450,+ACI-Albania,AMC+ACI-,0.17455
35528523,+ACI-Albania,AMC+ACI-,0.17455
35528570,+ACI-Albania,AMC+ACI-,0.17455
35528623,+ACI-Albania,AMC+ACI-,0.17455
35528643,+ACI-Albania,AMC+ACI-,0.17455
35528680,+ACI-Albania,AMC+ACI-,0.17455
35528763,+ACI-Albania,AMC+ACI-,0.17455
35528790,+ACI-Albania,AMC+ACI-,0.17455
35528823,+ACI-Albania,AMC+ACI-,0.17455
35528850,+ACI-Albania,AMC+ACI-,0.17455
35528870,+ACI-Albania,AMC+ACI-,0.17455
35528890,+ACI-Albania,AMC+ACI-,0.17455
35528950,+ACI-Albania,AMC+ACI-,0.17455
35528970,+ACI-Albania,AMC+ACI-,0.17455
35528990,+ACI-Albania,AMC+ACI-,0.17455
35529140,+ACI-Albania,AMC+ACI-,0.17455
35529190,+ACI-Albania,AMC+ACI-,0.17455
35529240,+ACI-Albania,AMC+ACI-,0.17455
35529280,+ACI-Albania,AMC+ACI-,0.17455
35529340,+ACI-Albania,AMC+ACI-,0.17455
35529370,+ACI-Albania,AMC+ACI-,0.17455
35529390,+ACI-Albania,AMC+ACI-,0.17455
35529423,+ACI-Albania,AMC+ACI-,0.17455
35529460,+ACI-Albania,AMC+ACI-,0.17455
35529490,+ACI-Albania,AMC+ACI-,0.17455
35529523,+ACI-Albania,AMC+ACI-,0.17455
35529550,+ACI-Albania,AMC+ACI-,0.17455
35529570,+ACI-Albania,AMC+ACI-,0.17455
35529590,+ACI-Albania,AMC+ACI-,0.17455
35529623,+ACI-Albania,AMC+ACI-,0.17455
35529650,+ACI-Albania,AMC+ACI-,0.17455
35529680,+ACI-Albania,AMC+ACI-,0.17455
35529723,+ACI-Albania,AMC+ACI-,0.17455
35529750,+ACI-Albania,AMC+ACI-,0.17455
35529763,+ACI-Albania,AMC+ACI-,0.17455
35529780,+ACI-Albania,AMC+ACI-,0.17455
35531150,+ACI-Albania,AMC+ACI-,0.17455
35531151,+ACI-Albania,AMC+ACI-,0.17455
35531250,+ACI-Albania,AMC+ACI-,0.17455
35531350,+ACI-Albania,AMC+ACI-,0.17455
35531351,+ACI-Albania,AMC+ACI-,0.17455
3553270,+ACI-Albania,AMC+ACI-,0.17455
3553350,+ACI-Albania,AMC+ACI-,0.17455
3553351,+ACI-Albania,AMC+ACI-,0.17455
3553490,+ACI-Albania,AMC+ACI-,0.17455
3553491,+ACI-Albania,AMC+ACI-,0.17455
3553560,+ACI-Albania,AMC+ACI-,0.17455
